p0,p1,p2,p3,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,time
1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,10754052
1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,10916159
0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,10916419
0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,10925669
0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,10317670
0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,9576281
0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,10922433
1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,10923354
1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,9575572
1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,10920424
1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,10923028
1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,10935136
0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,10922427
0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,10942420
0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,10920650
0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,10925018
0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,9579925
1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,10931647
1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,10927716
1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,10921371
1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,10925137
1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,10895767
0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,10926921
0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,10921435
0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,9566152
0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,9572464
0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,10928170
1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,10930771
1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,9576909
1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,10931516
1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,10928043
1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,9567046
0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,10926994
0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,10931458
0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,9576608
0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,10924960
0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,10918954
1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,10930724
1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,10936703
1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,10659230
1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,9576178
1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,10923873
0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,10924173
0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,10923553
0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,10923016
0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,10903226
0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,10928370
1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,10920900
1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,10925373
1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,10931104
1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,10932864
1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,10923641
0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,10927206
0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,10919380
0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,10942680
0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,10919940
0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,9575229
1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,10915149
1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,10916472
1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,10924073
1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,9743860
